"","st_id","firstgen","ethniccode","ethniccode_cat","urm","gender","female","famincome","lowincomeflag","transfer","transfer_cred","international","ell","us_hs","cohort","cohort_2013","cohort_2014","cohort_2015","cohort_2016","cohort_2017","cohort_2018","englsr","mathsr","hsgpa"
"2774","7CAC44D31BA957E",0,"WHITE",0,0,0,0,169217,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,590,700,3.599
"2775","4C34B590011C2CF",0,"WHITE",0,0,0,0,NA,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,610,670,4.48
"2776","8B533BC8ECCB5C4",0,"MULTI",NA,NA,1,1,104701,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,800,800,3.94
"2777","4E1D9B0D9582C4C",0,"WHITE",0,0,0,0,259083,0,0,15,0,NA,1,2010,0,0,0,0,0,0,580,600,3.25
"2778","B550AFCD62E09BA",1,"WHITE",0,0,1,1,64312,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,610,640,4.44
"2779","A9BC4BD7CE89B79",0,"WHITE",0,0,0,0,NA,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,730,690,4.6
"2780","1411281580D8E68",0,"WHITE",0,0,1,1,139926,0,0,3,0,NA,1,2010,0,0,0,0,0,0,490,640,4
"2781","C157399B6928361",0,"WHITE",0,0,1,1,192284,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,780,770,4
"2782","BE783BB047D5A3A",0,"PACIF",1,1,1,1,NA,0,0,7,0,NA,1,2010,0,0,0,0,0,0,610,700,3.448
"2783","990802F87F2B111",0,"WHITE",0,0,1,1,132153,0,0,9,0,NA,1,2010,0,0,0,0,0,0,600,560,4.25
"2784","C51055E47BA44CA",0,"WHITE",0,0,0,0,77382,0,1,9,0,NA,1,2010,0,0,0,0,0,0,590,630,3.333
"2785","20367AE845AC775",0,"WHITE",0,0,1,1,0,1,0,3,0,NA,1,2010,0,0,0,0,0,0,630,600,3.934
"2786","0EC95A0722833C2",0,"WHITE",0,0,0,0,NA,0,0,21,0,NA,1,2010,0,0,0,0,0,0,650,640,3.472
"2787","4B68D27D796D4CA",0,"WHITE",0,0,1,1,98000,0,0,3,0,NA,1,2010,0,0,0,0,0,0,590,620,3.633
"2788","BE78511DB04FD64",0,"WHITE",0,0,0,0,200000,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,680,520,3.7
"2789","E568E18E60A341D",0,"WHITE",0,0,0,0,193284,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,800,690,3.95
"2790","D0D23D7AC596483",0,"WHITE",0,0,0,0,90000,0,0,4,0,NA,1,2010,0,0,0,0,0,0,630,680,3.33
"2791","625BCA8994B9B7C",0,"WHITE",0,0,1,1,217107,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,720,780,4
"2792","7EE53804935BB27",0,"WHITE",0,0,0,0,190296,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,600,600,3.2
"2793","C774A5BFE055FDE",0,"WHITE",0,0,1,1,NA,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,580,580,3.509
"2794","912285AC42AFF8C",1,"WHITE",0,0,0,0,69881,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,620,630,4.02
"2795","E04CD71CBECB0AA",0,"ASIAN",2,0,1,1,NA,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,570,650,4.05
"2796","1F673215421F7E7",0,"WHITE",0,0,1,1,NA,0,0,7,0,NA,1,2010,0,0,0,0,0,0,700,690,4.1
"2797","F4145E8D11842AB",0,"WHITE",0,0,1,1,97045,0,0,3,0,NA,1,2010,0,0,0,0,0,0,580,590,3.921
"2798","4BECCB8404FE8AD",0,"WHITE",0,0,1,1,97437,0,0,6,0,NA,1,2010,0,0,0,0,0,0,530,570,4.25
"2799","002CECDD5956CDE",0,"WHITE",0,0,1,1,111656,0,0,3,0,NA,1,2010,0,0,0,0,0,0,590,570,4.05
"2800","24DC1A759006CA2",0,"WHITE",0,0,1,1,NA,0,1,NA,0,NA,1,2009,0,0,0,0,0,0,720,760,4.72
"2801","7C77E16C9AA44A3",0,"WHITE",0,0,0,0,138933,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,750,800,4.46
"2802","51AFD3DA7598FB9",1,"ASIAN",2,0,1,1,27128,1,0,NA,0,NA,1,2010,0,0,0,0,0,0,650,700,3.745
"2803","053406DC01C472D",0,"WHITE",0,0,1,1,152702,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,710,660,4.27
"2804","38F7B0975BAED7B",0,"ASIAN",2,0,1,1,72900,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,620,720,3.629
"2805","0B4E9FFD372C3F0",0,"WHITE",0,0,1,1,241633,0,0,3,0,NA,1,2010,0,0,0,0,0,0,670,700,4.03
"2806","730E0A71826A339",0,"ASIAN",2,0,0,0,67627,1,0,NA,0,NA,1,2010,0,0,0,0,0,0,610,690,3.698
"2807","7C3FF398A400067",0,"WHITE",0,0,1,1,83294,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,680,560,3.64
"2808","2F786B7E5806345",0,"WHITE",0,0,0,0,111555,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,570,600,3.889
"2809","3110B17CDA5A1CA",0,"WHITE",0,0,1,1,35408,1,0,9,0,NA,1,2010,0,0,0,0,0,0,630,680,3.627
"2810","1267FD7583AA9A9",0,"WHITE",0,0,1,1,95190,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,660,590,3.476
"2811","E6A05FBD0BB49DF",0,"WHITE",0,0,0,0,169535,0,0,3,0,NA,1,2010,0,0,0,0,0,0,600,640,4.01
"2812","0409A41773027B3",0,"WHITE",0,0,1,1,282314,0,0,7,0,NA,1,2010,0,0,0,0,0,0,640,590,4.96
"2813","6668980F69083FF",1,"WHITE",0,0,0,0,170588,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,550,730,3.259
"2814","F1B322A7633EF94",0,"WHITE",0,0,1,1,20323,1,0,NA,0,NA,1,2010,0,0,0,0,0,0,680,780,4.9
"2815","26C504EE9A309CB",1,"WHITE",0,0,0,0,61105,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,620,800,3.95
"2816","352E69EA139A56C",1,"WHITE",0,0,1,1,162876,0,0,18,0,NA,1,2010,0,0,0,0,0,0,600,570,4
"2817","752C1177CD594DC",0,"WHITE",0,0,1,1,NA,0,1,3,0,NA,1,2009,0,0,0,0,0,0,640,650,4
"2818","752077CFCDB7795",0,"WHITE",0,0,1,1,70833,0,0,6,0,NA,1,2010,0,0,0,0,0,0,630,690,3.8
"2819","B991F041182C2EC",0,"WHITE",0,0,0,0,NA,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,500,700,3.462
"2820","8A217630CEA43AC",0,"WHITE",0,0,0,0,654,1,0,NA,0,NA,1,2010,0,0,0,0,0,0,700,760,4.88
"2821","401814949C3F3EC",0,"WHITE",0,0,0,0,66435,0,0,3,0,NA,1,2010,0,0,0,0,0,0,550,640,3.704
"2822","6F3FFD766854889",0,"WHITE",0,0,0,0,178173,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,700,660,4.005
"2823","2BCF7FE1D09D74E",0,"WHITE",0,0,1,1,184684,0,0,3,0,NA,1,2010,0,0,0,0,0,0,630,570,4
"2824","0DF1B545C999129",0,"WHITE",0,0,0,0,112014,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,730,730,4.85
"2825","131A21631AA8915",0,"WHITE",0,0,1,1,137648,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,700,450,3.75
"2826","8AF692361C8CC2C",0,"WHITE",0,0,1,1,63138,0,0,3,0,NA,1,2010,0,0,0,0,0,0,700,730,3.7
"2827","59259889E43A4E1",0,"WHITE",0,0,1,1,NA,0,0,8,0,NA,1,2010,0,0,0,0,0,0,650,630,3.97
"2828","D4B6E0F64975978",0,"WHITE",0,0,1,1,25223,1,0,9,0,NA,1,2010,0,0,0,0,0,0,760,780,4.29
"2829","437BDD71C9A4BF9",0,"WHITE",0,0,1,1,105838,0,0,9,0,NA,1,2011,0,0,0,0,0,0,720,620,4.29
"2830","4C906F7C66238DC",0,"ASIAN",2,0,0,0,NA,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,770,800,4.05
"2831","07122D0BE773FF1",0,"WHITE",0,0,1,1,117259,0,0,6,0,NA,1,2010,0,0,0,0,0,0,770,760,4
"2832","1C69EB409949F01",0,"WHITE",0,0,1,1,96013,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,680,730,3.983
"2833","B758396157D376F",0,"WHITE",0,0,1,1,NA,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,720,750,4
"2834","39ED22A632D4592",0,"WHITE",0,0,0,0,NA,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,590,630,3.179
"2835","CEA91E2CB1B8B48",0,"WHITE",0,0,0,0,174817,0,0,23,0,NA,1,2010,0,0,0,0,0,0,760,790,3.986
"2836","A127B8A70B1D294",0,"WHITE",0,0,0,0,92542,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,670,680,3.554
"2837","9356E81F5ECF74D",0,"WHITE",0,0,0,0,109859,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,590,690,3.81
"2838","F2D0EE762137BC6",1,"WHITE",0,0,0,0,91777,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,570,650,4.32
"2839","21AEAA5B204B99D",0,"NSPEC",NA,NA,1,1,NA,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,680,730,4.28
"2840","A24859ADDB2DFB5",0,"WHITE",0,0,0,0,94559,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,800,740,4
"2841","3D3029A18821954",0,"ASIAN",2,0,0,0,NA,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,670,770,3.977
"2842","BCCEAB3008B79E7",0,"WHITE",0,0,0,0,205153,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,750,780,4
"2843","1DFA8495EB31B71",0,"WHITE",0,0,0,0,NA,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,700,730,4.07
"2844","9AABE1BF58160C6",0,"ASIAN",2,0,1,1,124996,0,0,6,0,NA,1,2010,0,0,0,0,0,0,700,740,4.64
"2845","DE19F1CB5DE1588",0,"WHITE",0,0,0,0,45740,1,0,24,0,NA,1,2010,0,0,0,0,0,0,500,590,3.984
"2846","467201DC8F25FD2",0,"WHITE",0,0,0,0,73119,0,0,6,0,NA,1,2010,0,0,0,0,0,0,620,640,4.39
"2847","197D5896EA50791",0,"HISPA",1,1,1,1,235000,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,590,670,4.02
"2848","CCA0CACC71F58D0",1,"WHITE",0,0,1,1,79395,0,0,3,0,NA,1,2010,0,0,0,0,0,0,590,600,4.12
"2849","B7986BFD8C8C64E",0,"BLACK",1,1,1,1,207036,0,0,13,0,NA,1,2010,0,0,0,0,0,0,720,620,4.8
"2850","D16698EC380D9BF",0,"BLACK",1,1,1,1,14535,1,1,NA,0,NA,1,2009,0,0,0,0,0,0,570,560,3.8
"2851","884DEBB4EB6AF71",0,"WHITE",0,0,1,1,NA,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,770,800,5
"2852","3DA9971D66A520C",0,"WHITE",0,0,1,1,2616,1,0,NA,0,NA,1,2010,0,0,0,0,0,0,760,700,3.906
"2853","92A722AF00402EF",0,"WHITE",0,0,1,1,154368,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,630,560,3.302
"2854","CC155F28E3C4442",0,"WHITE",0,0,0,0,NA,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,510,690,4.11
"2855","DF59AA2A885C803",0,"WHITE",0,0,1,1,59216,0,0,6,0,NA,1,2010,0,0,0,0,0,0,570,640,4
"2856","9C13FAFAFE166DC",0,"WHITE",0,0,1,1,151966,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,550,570,3.613
"2857","1824EA6F1F1859A",0,"WHITE",0,0,1,1,178859,0,0,6,0,NA,1,2010,0,0,0,0,0,0,570,620,3.76
"2858","03C021FFA8C6819",0,"WHITE",0,0,1,1,77479,1,0,3,0,NA,1,2010,0,0,0,0,0,0,650,580,4
"2859","466D96A8936765A",0,"WHITE",0,0,0,0,54513,0,0,29,0,NA,1,2010,0,0,0,0,0,0,800,730,3.817
"2860","50EFB907E4AA08E",0,"WHITE",0,0,0,0,NA,0,0,10,0,NA,1,2010,0,0,0,0,0,0,630,660,3.424
"2861","B753FBF19FCB5F7",0,"ASIAN",2,0,0,0,NA,0,1,NA,0,NA,1,2009,0,0,0,0,0,0,580,650,4.02
"2862","72551A6E8D8EF62",0,"WHITE",0,0,0,0,NA,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,680,690,4.5
"2863","497D6C1FB849917",0,"WHITE",0,0,1,1,303180,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,590,620,3.528
"2864","BD5F920E6DD1391",1,"WHITE",0,0,1,1,NA,0,1,55,0,NA,1,2009,0,0,0,0,0,0,600,590,2.9
"2865","FC25BA06BEC7AEA",0,"WHITE",0,0,0,0,101105,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,650,700,3.914
"2866","510CEB638B11AAA",0,"WHITE",0,0,1,1,287858,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,560,640,4.2
"2867","D88AEE5CB99D267",0,"WHITE",0,0,0,0,115000,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,770,780,3.95
"2868","27B794BDFBA3BDF",0,"HISPA",1,1,0,0,65914,0,0,8,0,NA,1,2010,0,0,0,0,0,0,730,650,3.72
"2869","514AFA307AE663C",0,"WHITE",0,0,0,0,203544,0,0,3,0,NA,1,2010,0,0,0,0,0,0,690,650,3.331
"2870","968ECEE4696C8C9",0,"MULTI",NA,NA,0,0,198618,0,0,3,0,NA,1,2010,0,0,0,0,0,0,730,710,4
"2871","0981EE714F395E6",0,"WHITE",0,0,0,0,134104,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,760,730,4.14
"2872","7327A13B70657DC",0,"BLACK",1,1,1,1,67796,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,610,600,3.097
"2873","B4E8EF98C83F80B",0,"WHITE",0,0,0,0,38349,1,0,6,0,NA,1,2010,0,0,0,0,0,0,620,570,4.11
"2874","7990AA0056BD4F2",1,"WHITE",0,0,1,1,125095,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,570,590,3.731
"2875","A4E5055BA9BBDEE",0,"BLACK",1,1,1,1,34361,1,0,NA,0,NA,1,2010,0,0,0,0,0,0,560,570,3.67
"2876","64CD8E6C6ACD65C",0,"WHITE",0,0,1,1,245954,0,0,19,0,NA,1,2010,0,0,0,0,0,0,720,760,4.25
"2877","3701B811B865F16",0,"WHITE",0,0,1,1,121290,0,0,12,0,NA,1,2010,0,0,0,0,0,0,490,520,3.95
"2878","FF7BCD2B8F91FD1",0,"WHITE",0,0,0,0,121841,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,600,650,3.9
"2879","F668466EB5D3185",0,"WHITE",0,0,0,0,445627,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,630,610,3.6
"2880","DBE0923BA68004C",0,"WHITE",0,0,0,0,98028,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,700,780,4.25
"2881","780632146792966",1,"WHITE",0,0,0,0,92646,0,1,14,0,NA,1,2009,0,0,0,0,0,0,520,680,3.6
"2882","4157682BA57B567",0,"WHITE",0,0,1,1,NA,0,0,12,0,NA,1,2010,0,0,0,0,0,0,700,620,4.05
"2883","B26D3E0F4BF74EE",0,"WHITE",0,0,0,0,268985,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,740,710,4
"2884","1763B7A524EFF7D",1,"WHITE",0,0,1,1,41973,1,0,10,0,NA,1,2010,0,0,0,0,0,0,650,630,4
"2885","4C021A85CCE29B5",0,"WHITE",0,0,0,0,101538,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,560,580,3.665
"2886","3A38AE404B598E3",0,"WHITE",0,0,1,1,126090,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,730,680,4.46
"2887","C0849E4FBC241C5",0,"WHITE",0,0,0,0,205600,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,700,780,4.85
"2888","CF619C1D38219A8",0,"WHITE",0,0,0,0,NA,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,600,700,3.423
"2889","EB1491559A836BC",0,"WHITE",0,0,0,0,115315,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,630,610,3.72
"2890","2DA304D24AA488C",0,"WHITE",0,0,1,1,NA,0,1,8,0,NA,1,2009,0,0,0,0,0,0,590,560,4.27
"2891","0CC9F74A7E43A14",0,"WHITE",0,0,0,0,NA,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,590,660,3.276
"2892","2D22CB58845DFA4",0,"WHITE",0,0,1,1,NA,0,1,33,0,NA,1,2010,0,0,0,0,0,0,700,770,4.93
"2893","5B36ED92A103369",0,"WHITE",0,0,0,0,267716,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,730,800,4.36
"2894","A4BCB0E66EF6CCD",0,"WHITE",0,0,1,1,91000,0,0,6,0,NA,1,2010,0,0,0,0,0,0,680,630,3.992
"2895","BAFE5660DFFB073",0,"WHITE",0,0,1,1,NA,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,680,650,4.083
"2896","1F221F1B259127A",0,"WHITE",0,0,0,0,76146,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,600,690,4.04
"2897","C83D8BA6E76D858",0,"WHITE",0,0,0,0,108298,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,640,690,3.75
"2898","B6BA3D8FCC7BDD4",0,"WHITE",0,0,0,0,NA,0,0,7,0,NA,1,2010,0,0,0,0,0,0,540,690,3.4
"2899","E84B4B98DB2A0D8",0,"ASIAN",2,0,0,0,122061,0,0,6,0,NA,1,2010,0,0,0,0,0,0,630,800,4
"2900","AFAEBBD1C171BA6",0,"WHITE",0,0,1,1,99180,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,800,720,3.957
"2901","ADCD3BDDDE7A9D5",0,"WHITE",0,0,0,0,NA,0,0,8,0,NA,1,2010,0,0,0,0,0,0,590,730,3.799
"2902","28B0B1C1347AEC4",0,"WHITE",0,0,1,1,76068,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,580,610,4.25
"2903","912C7F04532CBAD",0,"WHITE",0,0,0,0,56049,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,600,720,4
"2904","60190B3C3321559",0,"WHITE",0,0,0,0,111824,0,0,NA,0,NA,1,2010,0,0,0,0,0,0,560,660,3.916
"2905","1EBE1940C01E941",1,"WHITE",0,0,0,0,109980,0,0,6,0,NA,1,2010,0,0,0,0,0,0,560,690,3.291
